id,prenom,nom,sexe,sortante,circonscription,parti,dissidence,lien,twitter
7360,Denis,Marchiset,homme,,092-06,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
8937,Cécile,Abad,femme,,092-07,LO,,https://www.lutte-ouvriere.org/legislatives,
7366,Pierre,Cazeneuve,homme,,092-07,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
8184,Agnès,Dumont,femme,,092-07,Reconquête,,https://www.leparisien.fr/hauts-de-seine-92/legislatives-dans-les-hauts-de-seine-qui-sont-les-candidats-rn-et-reconquete-29-04-2022-EV27RRGJK5HDROQ5CCGIG6RY6Q.php,
7364,Charlotte,Duthu,femme,,092-07,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7365,Xabi,Elizagoyen,homme,,092-07,LR,,https://republicains.fr/actualites/2022/05/05/decision-de-la-commission-nationale-dinvestiture-8/,
8375,Guillaume,Hlavacek,homme,,092-07,Parti pirate,,https://partipirate.org/map,
7367,Sandro,Rato,homme,,092-07,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/RatoSandro
7837,Christophe,Versini,homme,,092-07,RN,,https://rassemblementnational.fr/elections-legislatives/,
7371,Annie,Comoy,femme,,092-08,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,
8185,Olivier,Guillard-Bentejac,homme,,092-08,Reconquête,,https://www.leparisien.fr/hauts-de-seine-92/legislatives-dans-les-hauts-de-seine-qui-sont-les-candidats-rn-et-reconquete-29-04-2022-EV27RRGJK5HDROQ5CCGIG6RY6Q.php,
7838,Sarena,Habib,femme,,092-08,RN,,https://rassemblementnational.fr/elections-legislatives/,
8938,Philippe,Hénique,homme,,092-08,LO,,https://www.lutte-ouvriere.org/legislatives,
7369,Laurence,Labbé,femme,,092-08,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7368,Cécile,Richez,femme,,092-08,LR,,https://republicains.fr/actualites/2021/11/24/decision-de-la-commission-nationale-dinvestiture-2/,
7370,Prisca,Thevenot,femme,,092-08,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
8186,Guillaume,Bessières,homme,,092-09,Reconquête,,https://www.leparisien.fr/hauts-de-seine-92/legislatives-dans-les-hauts-de-seine-qui-sont-les-candidats-rn-et-reconquete-29-04-2022-EV27RRGJK5HDROQ5CCGIG6RY6Q.php,
8939,Anne-Laure,Chaudon,femme,,092-09,LO,,https://www.lutte-ouvriere.org/legislatives,
7373,Léopold,Chesneau,homme,,092-09,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7839,Nathalie,Gaude,femme,,092-09,RN,,https://rassemblementnational.fr/elections-legislatives/,
7372,Marie-Laure,Godin,femme,,092-09,LR,,https://republicains.fr/actualites/2021/11/24/decision-de-la-commission-nationale-dinvestiture-2/,
7374,Pauline,Rapilly Ferniot,femme,,092-09,EE-LV,,https://www.eelv.fr/files/2022/05/Scenario-Investiture.pdf,https://twitter.com/Pauline_RF
7378,Gabriel,Attal,homme,,092-10,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7376,Sandrine,Bourg,femme,,092-10,LR,,https://republicains.fr/actualites/2021/11/24/decision-de-la-commission-nationale-dinvestiture-2/,
7377,Alexis,Escale,homme,,092-10,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7840,Hadrien,Petit,homme,,092-10,RN,,https://rassemblementnational.fr/elections-legislatives/,
7379,Cécile,Soubelet,femme,,092-10,PS,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/vague1_investitures_ps_nupes-896b6d8e81644c90819c172aea1049b5.pdf,https://twitter.com/cecilesou
8940,Laurence,Viguié,femme,,092-10,LO,,https://www.lutte-ouvriere.org/legislatives,
7381,Dominique,Broussaudier,femme,,092-11,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7841,Juliette,Chatelain,femme,,092-11,RN,,https://rassemblementnational.fr/elections-legislatives/,
7380,Marie,Colavita,femme,,092-11,LR,,https://republicains.fr/actualites/2021/11/24/decision-de-la-commission-nationale-dinvestiture-2/,
8187,Florence,Delétang,femme,,092-11,Reconquête,,https://www.leparisien.fr/hauts-de-seine-92/legislatives-dans-les-hauts-de-seine-qui-sont-les-candidats-rn-et-reconquete-29-04-2022-EV27RRGJK5HDROQ5CCGIG6RY6Q.php,
8941,Franck,Rollot,homme,,092-11,LO,,https://www.lutte-ouvriere.org/legislatives,
7382,Laurianne,Rossi,femme,checked,092-11,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
7383,Aurélien,Saintoul,homme,,092-11,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/Aurelien_Stl
7384,Jean-Didier,Berger,homme,,092-12,LR,,https://republicains.fr/actualites/2021/11/24/decision-de-la-commission-nationale-dinvestiture-2/,
8942,Yann,Bernard,homme,,092-12,LO,,https://www.lutte-ouvriere.org/legislatives,
7386,Jean-Louis,Bourlanges,homme,checked,092-12,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
8188,Florent,Noblet,homme,,092-12,Reconquête,,https://www.leparisien.fr/hauts-de-seine-92/legislatives-dans-les-hauts-de-seine-qui-sont-les-candidats-rn-et-reconquete-29-04-2022-EV27RRGJK5HDROQ5CCGIG6RY6Q.php,
7385,Guillaume,Prevel,homme,,092-12,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
8386,Florian,Samiez,homme,,092-12,Parti pirate,,https://partipirate.org/map,
7387,Cathy,Thomas,femme,,092-12,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/CathyThomas_off
7842,Marc,Thomas,homme,,092-12,RN,,https://rassemblementnational.fr/elections-legislatives/,
7389,David,Benoist,homme,,092-13,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7390,Maud,Bregeon,femme,,092-13,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
7388,Henri,de Beauregard,homme,,092-13,LR,,https://republicains.fr/actualites/2021/11/24/decision-de-la-commission-nationale-dinvestiture-2/,
8176,Brice,Gaillard,homme,,092-13,PS,,https://www.lejournaldugrandparis.fr/hauts-de-seine-un-territoire-de-droite-investi-par-la-rem-que-la-gauche-reve-de-reconquerir/,
8943,Agathe,Martin,femme,,092-13,LO,,https://www.lutte-ouvriere.org/legislatives,
8377,Alexis,Toyane,homme,,092-13,Parti pirate,,https://partipirate.org/map,
7843,Patrick,Yvars,homme,,092-13,RN,,https://rassemblementnational.fr/elections-legislatives/,
8944,Alain,Aubry,homme,,093-01,LO,,https://www.lutte-ouvriere.org/legislatives,
7392,Sophia,Bahri,femme,,093-01,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
7393,Eric,Coquerel,homme,checked,093-01,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/ericcoquerel
7395,Jeanne,Dromard,femme,,093-01,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7394,Jerome,Hirigoyen,homme,,093-01,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7398,Anaïs,Brood,femme,,093-02,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7399,Stéphane,Peu,homme,checked,093-02,PCF,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/tableau-circos-pcf-accord-nupes-7397ac805b5f4340a7ae16bd3c875949.pdf,https://twitter.com/stephane1peu
7397,Aurélien,Pichard,homme,,093-02,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
8945,Agnès,Renaud,femme,,093-02,LO,,https://www.lutte-ouvriere.org/legislatives,
7396,Sinaa,Thabet,femme,,093-02,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
7401,Nathalie,Amouroux,femme,,093-03,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7402,Patrice,Anato,homme,checked,093-03,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
8946,Maëlle,Gaucherand,femme,,093-03,LO,,https://www.lutte-ouvriere.org/legislatives,
7400,Marie-Blanche,Pietri,femme,,093-03,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
7403,Thomas,Portes,homme,,093-03,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/Portes_Thomas
9064,Soumya,Bourouaha,femme,,093-04,PCF,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/tableau-circos-pcf-accord-nupes-7397ac805b5f4340a7ae16bd3c875949.pdf,
7404,Marie-Claude,Goureau,femme,,093-04,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
8947,Marlène,Ley,femme,,093-04,LO,,https://www.lutte-ouvriere.org/legislatives,
7406,Lova,Rinel,femme,,093-04,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7405,Stéphane,Sourdillat,homme,,093-04,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7409,Nabil,Aït Akkache,homme,,093-05,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7408,Geoffroy,Desbois,homme,,093-05,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
8948,Rodolphe,Feger,homme,,093-05,LO,,https://www.lutte-ouvriere.org/legislatives,
7410,Raquel,Garrido,femme,,093-05,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/RaquelGarridoFr
8254,Jean-Christophe,Lagarde,homme,checked,093-05,"LR,UDI",,https://www.leparisien.fr/seine-saint-denis-93/legislatives-2022-jean-christophe-lagarde-brigue-un-cinquieme-mandat-de-depute-06-05-2022-JPW7NLOJWBGMNN4TCIJJEFZ7NI.php,
8949,Nathalie,Arthaud,femme,,093-06,LO,,https://www.lutte-ouvriere.org/legislatives,
7413,Yasmina,Baziz,femme,,093-06,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7412,Bastien,Lachaud,homme,checked,093-06,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/LachaudB
7411,Ling,Lenzi,homme,,093-06,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
7417,Marie-Laure,Brossier,femme,,093-07,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7415,Alexis,Corbiere,homme,checked,093-07,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/alexiscorbiere
7416,Catherine,Dehay,femme,,093-07,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7414,Julien,Guillot,homme,,093-07,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
8950,Aurélie,Jochaud,femme,,093-07,LO,,https://www.lutte-ouvriere.org/legislatives,
7418,Geoffrey,Carvalhinho,homme,,093-08,LR,,https://republicains.fr/actualites/2022/05/05/decision-de-la-commission-nationale-dinvestiture-8/,
7419,Sylvie,Charrière,femme,checked,093-08,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
8355,Corinne,Fournier,femme,,093-08,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7420,Fatiha,Hachi,femme,,093-08,PS,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/vague1_investitures_ps_nupes-896b6d8e81644c90819c172aea1049b5.pdf,https://twitter.com/KelouaF
8951,Grégory,Tobeilem,homme,,093-08,LO,,https://www.lutte-ouvriere.org/legislatives,
8952,Jean-Paul,Burot,homme,,093-09,LO,,https://www.lutte-ouvriere.org/legislatives,
7422,Carole,Fitoussi,femme,,093-09,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
9250,Jean-Paul,Lefebvre,homme,,093-09,FGR,,https://twitter.com/jpaullefebvre/status/1527231730091950081,https://twitter.com/jpaullefebvre
7421,Roberson,Pierre,homme,,093-09,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
7423,Alexandre,Saada,homme,,093-09,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
7425,Aurélie,Trouvé,femme,,093-09,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/TrouveAurelie
7428,Nadège,Abomangoli,femme,,093-10,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/abomangoli
7427,Sonia,Bakhti-Alout,femme,,093-10,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7426,Jean-Ludwig,Malard,homme,,093-10,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
8953,Gaëtan,Minardi,homme,,093-10,LO,,https://www.lutte-ouvriere.org/legislatives,
8215,Alain,Ramadier,homme,checked,093-10,"LR,UDI",,https://www.aulnaylibre.com/2022/03/alain-ramadier-candidat-pour-un-nouveau-mandat-de-depute-a-aulnay-sous-bois.html,
7429,Clémentine,Autain,femme,checked,093-11,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/Clem_Autain
8954,Isabelle,Couffin-Guérin,femme,,093-11,LO,,https://www.lutte-ouvriere.org/legislatives,
7430,Jean-Pierre,Leverrier,homme,,093-11,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7431,Hakima,Ouaret,femme,,093-11,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
8955,Amal,Aissaoui,femme,,093-12,LO,,https://www.lutte-ouvriere.org/legislatives,
7432,Franck,Barth,homme,,093-12,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,
7433,Malik,Houha,homme,,093-12,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7436,Jérôme,Legavre,homme,,093-12,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,
7434,Pierre-Marie,Salle,homme,,093-12,Reconquête,,https://twitter.com/SallePm/status/1520147480595292162,https://twitter.com/SallePm
7435,Stéphane,Testé,homme,checked,093-12,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7439,Frédéric,Descrozaille,homme,checked,094-01,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7440,Thierry,Guintrand,homme,,094-01,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,
8123,Laurent,Jolly,homme,,094-01,RN,,https://rassemblementnational.fr/elections-legislatives/,
8956,Almash,Patel,femme,,094-01,LO,,https://www.lutte-ouvriere.org/legislatives,
7438,Pierre,Robin,homme,,094-01,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7437,Germain,Roesch,homme,,094-01,LR,,https://republicains.fr/actualites/2022/02/16/decision-de-la-commission-nationale-dinvestiture-7/,
8124,Antoine,Ghaye,homme,,094-02,RN,,https://rassemblementnational.fr/elections-legislatives/,
7444,Clémence,Guetté,femme,,094-02,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/Clemence_Guette
7441,Thierry,Hebbrecht,homme,,094-02,LR,,https://republicains.fr/actualites/2021/12/17/decision-de-la-commission-nationale-dinvestiture-4/,
7443,Jean-François,Mbaye,homme,,094-02,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7442,Céline,Suin,femme,,094-02,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
8957,Josefa,Torres,femme,,094-02,LO,,https://www.lutte-ouvriere.org/legislatives,
7448,Louis,Boyard,homme,,094-03,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/l_boyard
7446,Tom,Bry-Chevalier,homme,,094-03,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7445,Didier,Gonzales,homme,,094-03,LR,,https://republicains.fr/actualites/2022/02/16/decision-de-la-commission-nationale-dinvestiture-7/,
8958,Lucien,Noaile,homme,,094-03,LO,,https://www.lutte-ouvriere.org/legislatives,
8125,Françis,Pretot,homme,,094-03,RN,,https://rassemblementnational.fr/elections-legislatives/,
7447,Laurent,Saint-Martin,homme,checked,094-03,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
7449,Marie-Carole,Ciuntu,femme,,094-04,LR,,https://republicains.fr/actualites/2021/12/17/decision-de-la-commission-nationale-dinvestiture-4/,
7452,Mirabelle,Lemaire,femme,,094-04,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,https://twitter.com/MirabelLemaire
8959,Brigitte,Moulin,femme,,094-04,LO,,https://www.lutte-ouvriere.org/legislatives,
7451,Maud,Petit,femme,checked,094-04,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
8126,Alain,Philippet,homme,,094-04,RN,,https://rassemblementnational.fr/elections-legislatives/,
7450,Isabelle,Yvos,femme,,094-04,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7453,Paul,Bazin,homme,,094-05,LR,,https://republicains.fr/actualites/2021/12/17/decision-de-la-commission-nationale-dinvestiture-4/,https://twitter.com/paulbazin
7454,Frédéric,Duboucher,homme,,094-05,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
8361,Maxime,Henry,homme,,094-05,Parti pirate,,https://partipirate.org/map,
8127,Isabelle,Huguenin-Richard,femme,,094-05,RN,,https://rassemblementnational.fr/elections-legislatives/,
8960,François,Joslin,homme,,094-05,LO,,https://www.lutte-ouvriere.org/legislatives,
7455,Mathieu,Lefevre,homme,,094-05,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,
9065,Julien,Léger,homme,,094-05,PCF,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/tableau-circos-pcf-accord-nupes-7397ac805b5f4340a7ae16bd3c875949.pdf,
8128,Catherine,Chaput,femme,,094-06,RN,,https://rassemblementnational.fr/elections-legislatives/,
7458,Xavier,Cornet,homme,,094-06,Parti animaliste,,https://parti-animaliste.fr/legislatives2022,
7459,Anne-Françoise,Gabrielli,femme,,094-06,EE-LV,,https://www.eelv.fr/files/2022/05/Scenario-Investiture.pdf,https://twitter.com/af_gabrielli
7460,Guillaume,Gouffier-Cha,homme,checked,094-06,LRM,,https://nos-candidats.avecvous.fr/Dossier-presse-Vague-1.pdf,
8961,Véronique,Hunaut,femme,,094-06,LO,,https://www.lutte-ouvriere.org/legislatives,
7457,Céline,Martin,femme,,094-06,LR,,https://republicains.fr/actualites/2021/12/17/decision-de-la-commission-nationale-dinvestiture-4/,
